t=2026-05-22T00:08:10+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-22T00:08:10+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\prakhar\\AppData\\Local/ngrok/ngrok.yml
t=2026-05-22T00:08:10+0530 lvl=info msg="open config file" path=C:\\Users\\prakhar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-22T01:27:02+0530 lvl=info msg="join connections" obj=join id=a2f547ab2b4a l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:02+0530 lvl=info msg="join connections" obj=join id=4cf5352bfe51 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:02+0530 lvl=info msg="join connections" obj=join id=a7fe9b8e5613 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:03+0530 lvl=info msg="join connections" obj=join id=c1dea3c1c53a l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:03+0530 lvl=info msg="join connections" obj=join id=118a06a53f51 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:42+0530 lvl=info msg="join connections" obj=join id=bf51eeb07aa3 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:42+0530 lvl=info msg="join connections" obj=join id=fb01b828a19e l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:43+0530 lvl=info msg="join connections" obj=join id=e9782bb51313 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:43+0530 lvl=info msg="join connections" obj=join id=42cd5016727e l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:28:52+0530 lvl=info msg="join connections" obj=join id=4a8da356733e l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:28:52+0530 lvl=info msg="join connections" obj=join id=b9824a3ef5f7 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:28:52+0530 lvl=info msg="join connections" obj=join id=f804ce5f7883 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:28:52+0530 lvl=info msg="join connections" obj=join id=27ea344204f6 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:34:41+0530 lvl=info msg="join connections" obj=join id=050b3538df6f l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:37:14+0530 lvl=info msg="join connections" obj=join id=aba496c6870a l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:37:26+0530 lvl=info msg="join connections" obj=join id=c7dbd237db6e l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:40:51+0530 lvl=info msg="join connections" obj=join id=f7e16e815b33 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:41:36+0530 lvl=info msg="join connections" obj=join id=7d4721063234 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:41:36+0530 lvl=info msg="join connections" obj=join id=f1eb1deed440 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:41:36+0530 lvl=info msg="join connections" obj=join id=e67ca8fc2a38 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:41:36+0530 lvl=info msg="join connections" obj=join id=64a1513001f5 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:41:37+0530 lvl=info msg="join connections" obj=join id=01807e3889ea l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:41:37+0530 lvl=info msg="join connections" obj=join id=f3834fd1c31f l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:42:11+0530 lvl=info msg="join connections" obj=join id=0eb6a05e7d24 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:42:11+0530 lvl=info msg="join connections" obj=join id=3b3bf4936b5f l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:42:11+0530 lvl=info msg="join connections" obj=join id=f8ac44119108 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:42:12+0530 lvl=info msg="join connections" obj=join id=c8dd214d2f3e l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:42:13+0530 lvl=info msg="join connections" obj=join id=85ad8228f637 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:43:10+0530 lvl=info msg="join connections" obj=join id=c8a302c30b1f l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:45:43+0530 lvl=info msg="join connections" obj=join id=52b47468cd5f l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:45:44+0530 lvl=info msg="join connections" obj=join id=769012cbc4c3 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:45:44+0530 lvl=info msg="join connections" obj=join id=bde4e507e681 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:45:46+0530 lvl=info msg="join connections" obj=join id=79247ea4e1aa l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:45:46+0530 lvl=info msg="join connections" obj=join id=e7151a13a0ca l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:52:20+0530 lvl=info msg="join connections" obj=join id=b7146c7c4717 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T02:00:41+0530 lvl=info msg="join connections" obj=join id=679a85a62c0b l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T02:06:55+0530 lvl=info msg="join connections" obj=join id=cded0cd24d16 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:07:02+0530 lvl=info msg="join connections" obj=join id=2cae0e7301aa l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:07:04+0530 lvl=info msg="join connections" obj=join id=5fb68f0963e0 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:07:04+0530 lvl=info msg="join connections" obj=join id=59a43ec67783 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:07:07+0530 lvl=info msg="join connections" obj=join id=15a771ac827c l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:07:21+0530 lvl=info msg="join connections" obj=join id=5bccd3ae5c13 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:09:58+0530 lvl=info msg="join connections" obj=join id=de6f0f7b4452 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:09:58+0530 lvl=info msg="join connections" obj=join id=856261c3a350 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:10:13+0530 lvl=info msg="join connections" obj=join id=9f1bddb4eed5 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:10:13+0530 lvl=info msg="join connections" obj=join id=9fc9a98b3a52 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:10:14+0530 lvl=info msg="join connections" obj=join id=675d6069d2f4 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:10:14+0530 lvl=info msg="join connections" obj=join id=211ddf3acf4d l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:11:29+0530 lvl=info msg="join connections" obj=join id=3f253bddee6d l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:17:31+0530 lvl=info msg="join connections" obj=join id=5d6891f051f1 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:19:28+0530 lvl=info msg="join connections" obj=join id=af9a2653a876 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:20:30+0530 lvl=info msg="join connections" obj=join id=49124b80794d l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:20:30+0530 lvl=info msg="join connections" obj=join id=a520189e07d4 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:20:30+0530 lvl=info msg="join connections" obj=join id=93425874b19e l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:20:30+0530 lvl=info msg="join connections" obj=join id=529a3f3a7278 l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:20:30+0530 lvl=info msg="join connections" obj=join id=9b30fb376ddf l=[::1]:8080 r=80.79.7.105:26577
t=2026-05-22T02:20:32+0530 lvl=info msg="join connections" obj=join id=7792bce58589 l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:20:32+0530 lvl=info msg="join connections" obj=join id=c837e21341e6 l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:20:32+0530 lvl=info msg="join connections" obj=join id=56092df889b9 l=[::1]:8080 r=80.79.7.105:26297
